ID,0007CB0942,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDDBAF,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,0,0,0,0,0,0,0,0,0
0007CB3491,0,0,1,0,0,0,0,0,0,0
0007CB4837,0,0,0,0,0,0,0,0,1,0
0007CD72E3,0,0,0,0,0,1,1,0,1,0
0007CD77C5,1,2,0,0,0,2,1,1,1,2
0007CDDBAF,0,0,0,0,5,0,0,1,2,0
0007CDE223,0,0,0,1,1,0,0,2,2,0
0007CDEC0B,0,0,0,0,2,0,0,0,3,1
0007CDEEE2,0,0,0,0,0,2,2,2,0,0
0007CE0327,0,0,0,0,0,1,0,1,0,0
