ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,46.3876036307692,62.64293455,58.2872459289474,44.1247988,62.8465828857143,36.2483030101449,59.7963572852941,26.5623124733333,61.516610695082
0007CB0942,46.3876036307692,0,69.81627396,65.8929744375,47.00185155,62.9546625128205,46.1234014547619,68.62289232,37.8473074384615,30.9670204784314
0007CB30A6,62.64293455,69.81627396,0,38.9561609102041,0,29.2705014888889,52.7628204052632,59.9713377826087,55.5274950038462,63.5712110814815
0007CB486D,58.2872459289474,65.8929744375,38.9561609102041,0,19.6498420777778,58.4205307495413,58.4881634181818,52.6868882305882,39.3587467872093,59.2542973179245
0007CD5116,44.1247988,47.00185155,0,19.6498420777778,0,55.2427128588235,53.5738936,40.10944508,42.39466366,30.7024543444444
0007CD86B3,62.8465828857143,62.9546625128205,29.2705014888889,58.4205307495413,55.2427128588235,0,55.867087857037,57.0258940904255,58.5537713495575,41.857535788
0007CDC91B,36.2483030101449,46.1234014547619,52.7628204052632,58.4881634181818,53.5738936,55.867087857037,0,55.41836393,57.6362489395062,62.5950932266667
0007CDDBAF,59.7963572852941,68.62289232,59.9713377826087,52.6868882305882,40.10944508,57.0258940904255,55.41836393,0,51.4999328252252,58.9794847983871
0007CDE223,26.5623124733333,37.8473074384615,55.5274950038462,39.3587467872093,42.39466366,58.5537713495575,57.6362489395062,51.4999328252252,0,58.4149545810811
0007CDEC0B,61.516610695082,30.9670204784314,63.5712110814815,59.2542973179245,30.7024543444444,41.857535788,62.5950932266667,58.9794847983871,58.4149545810811,0
