ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,6,3,27,3,12,20,19,21,9
0007CB0942,2,0,4,10,1,12,18,8,10,9
0007CB30A6,4,5,0,10,0,6,13,3,5,2
0007CB486D,33,11,2,0,3,28,32,58,12,29
0007CD5116,0,0,2,2,0,0,5,5,0,2
0007CD86B3,5,6,4,42,1,0,27,50,25,29
0007CDC91B,8,11,5,25,0,21,0,37,13,7
0007CDDBAF,7,2,4,58,1,37,33,0,47,22
0007CDE223,19,2,8,27,0,15,23,45,0,5
0007CDEC0B,6,6,8,42,0,34,22,36,14,0
