ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,2.30289855072464,2.28518518518519,2.68030303030303,1.62777777777778,2.54270833333333,2.45116959064327,2.45238095238095,2.8681592039801,2.66410256410256
0007CB0942,2.30289855072464,0,2.34166666666667,1.96049382716049,1.65,2.17179487179487,2.15435897435897,2.33235294117647,2.03446327683616,2.21784037558685
0007CB30A6,2.28518518518519,2.34166666666667,0,3.40730593607306,2.35333333333333,2.79869281045752,1.85471698113208,2.91560283687943,2.81717171717172,2.05185185185185
0007CB486D,2.68030303030303,1.96049382716049,3.40730593607306,0,2.45238095238095,2.85066666666667,2.69308176100629,2.30231884057971,2.69722222222222,3.68823529411765
0007CD5116,1.62777777777778,1.65,2.35333333333333,2.45238095238095,0,2.43076923076923,3.33055555555556,1.91333333333333,1.54166666666667,1.99166666666667
0007CD86B3,2.54270833333333,2.17179487179487,2.79869281045752,2.85066666666667,2.43076923076923,0,2.98591549295775,3.0356862745098,2.85903614457831,3.34880952380952
0007CDC91B,2.45116959064327,2.15435897435897,1.85471698113208,2.69308176100629,3.33055555555556,2.98591549295775,0,2.6079012345679,2.32363636363636,2.28387096774194
0007CDDBAF,2.45238095238095,2.33235294117647,2.91560283687943,2.30231884057971,1.91333333333333,3.0356862745098,2.6079012345679,0,3.0043771043771,3.05454545454545
0007CDE223,2.8681592039801,2.03446327683616,2.81717171717172,2.69722222222222,1.54166666666667,2.85903614457831,2.32363636363636,3.0043771043771,0,3.69210526315789
0007CDEC0B,2.66410256410256,2.21784037558685,2.05185185185185,3.68823529411765,1.99166666666667,3.34880952380952,2.28387096774194,3.05454545454545,3.69210526315789,0
