ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,2.72516469038208,3.27093712930012,2.08793650793651,2.20116279069768,2.98320926385442,2.45729847494553,3.95438596491228,2.0735368956743,2.18609523809524
0007CB0AD4,2.72516469038208,0,2.8382252559727,2.00492753623189,2.97021276595744,2.28726752503577,2.18598130841121,3.95390749601276,2.42493224932249,2.76233333333333
0007CB2ED2,3.27093712930012,2.8382252559727,0,3.48217468805704,3.20038535645472,3.77263157894737,2.74074074074074,4.30627615062762,2.25379113018598,3.00541666666667
0007CB321B,2.08793650793651,2.00492753623189,3.48217468805704,0,2.65066666666667,2.78875502008032,2.22559523809524,2.82633053221289,1.75324074074074,3.56725146198831
0007CB39C9,2.20116279069768,2.97021276595744,3.20038535645472,2.65066666666667,0,2.37547169811321,2.05111111111111,3.09615384615384,2.13047619047619,2.40972222222222
0007CB464C,2.98320926385442,2.28726752503577,3.77263157894737,2.78875502008032,2.37547169811321,0,3.1137984496124,4.32958937198068,2.05365853658537,2.30948012232416
0007F2B770,2.45729847494553,2.18598130841121,2.74074074074074,2.22559523809524,2.05111111111111,3.1137984496124,0,3.73918699186992,1.98144208037825,2.00886524822695
0007F2B957,3.95438596491228,3.95390749601276,4.30627615062762,2.82633053221289,3.09615384615384,4.32958937198068,3.73918699186992,0,1.95151515151515,2.17731958762887
0007F2BA9B,2.0735368956743,2.42493224932249,2.25379113018598,1.75324074074074,2.13047619047619,2.05365853658537,1.98144208037825,1.95151515151515,0,2.25380952380952
0007F2CA05,2.18609523809524,2.76233333333333,3.00541666666667,3.56725146198831,2.40972222222222,2.30948012232416,2.00886524822695,2.17731958762887,2.25380952380952,0
