ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,0.299499881861857,0.0277596104934234,0.134044921747102,0.0904745765657722,0.245292801052086,0.0823800075984634,0.103757199012707,0.252507275810808,0.0197801376009573
0007ACA781,0.470535465709778,0,0.279122156819998,0.0949250212821689,0.130684533896464,0.0706364360592304,0.120710034193085,0.245756772404547,0.443256807363351,0.402831830406581
0007CB2224,0.00908183158195045,0.0615989094699702,0,0.0167294649585531,0.0965056356510328,0.0565876004721488,0.0957121391005688,0.0228914436870485,0.0203239184361501,0.256098718557191
0007CD38E5,0.158304203916231,0.07135543829251,0.0469499013065137,0,0.217309313380435,0.387956652040314,0.27734391489721,0.250907969574453,0.0638354931088317,0.10999841797184
0007CD72E3,0.16102638661181,0.148046782704576,0.383685174308123,0.327496562111192,0,0.199390498349794,0.336421968002026,0.492122985038242,0.379105249547452,0.190412909349787
0007CD7FB2,0.300027840504841,0.0549933055052373,0.189256509070401,0.401807347259512,0.137028443308914,0,0.168200430579594,0.220983027089618,0.036031376605465,0.15562411010916
0007CD81D3,0.0603674946639032,0.0563026699220288,0.15612553070425,0.172090891231747,0.138514482363063,0.100770096483353,0,0.0745905571164257,0.0938807957168442,0.217465590887518
0007CDEAA7,0.052664954991184,0.0793986768527999,0.02964036358846,0.112514404240609,0.140348132891867,0.0917034433049658,0.0584147257700977,0,0.0652434177130323,0.0118024255378468
0007CDEEE2,0.408108016649183,0.455619437662441,0.0733165186746363,0.0872896339466966,0.343978934744635,0.0475714773460124,0.206889273502469,0.207575342048328,0,0.12327163423509
0007CE0327,0.0375923820352473,0.250679294321493,0.559306222575406,0.0910614890969814,0.104596292723623,0.124391446744477,0.290134661657309,0.0258418964289347,0.0746295817410377,0
