"","start_frame","focal","partner","focal_smooth","partner_smooth","day","group","approacher_smooth"
"56",1767878,"0007AC2B02","0007CB44CE",NA,6.56331615040998,"9",1,NA
"57",1784156,"0007AC2B02","0007CB44CE",NA,162.389455736302,"9",1,NA
"58",1796947,"0007AC2B02","0007CB44CE",48.8140501222312,48.0396415732822,"9",1,"0007AC2B02"
"59",1797509,"0007AC2B02","0007CB44CE",214.285410198493,38.171818402353,"9",1,"0007AC2B02"
"60",2382482,"0007AC2B02","0007CB44CE",335.281742240055,84.497563133557,"9",1,"0007AC2B02"
"61",2546698,"0007AC2B02","0007CB44CE",NA,167.380866063852,"9",1,NA
"62",677359,"0007AC2B02","0007CB7051",56.419051428082,NA,"9",1,NA
"63",920666,"0007AC2B02","0007CB7051",45.7698374645139,NA,"9",1,NA
"64",920716,"0007AC2B02","0007CB7051",32.610128385001,37.6367813002636,"9",1,"0007CB7051"
"65",920858,"0007AC2B02","0007CB7051",28.8124979109087,NA,"9",1,NA
"66",921319,"0007AC2B02","0007CB7051",24.611189735036,14.952945998142,"9",1,"0007AC2B02"
"67",921495,"0007AC2B02","0007CB7051",29.708374085777,16.3981825528121,"9",1,"0007AC2B02"
"68",922054,"0007AC2B02","0007CB7051",19.1562334688482,21.5355384114237,"9",1,"0007CB7051"
"69",922334,"0007AC2B02","0007CB7051",30.9525450181996,40.1891565999858,"9",1,"0007CB7051"
"70",922475,"0007AC2B02","0007CB7051",49.3673266810078,21.5088993658352,"9",1,"0007AC2B02"
"71",922557,"0007AC2B02","0007CB7051",44.1847227795376,14.5530781386103,"9",1,"0007AC2B02"
"72",960371,"0007AC2B02","0007CB7051",219.026809300545,5.70259379104164,"9",1,"0007AC2B02"
"73",1131024,"0007AC2B02","0007CB7051",NA,95.8094387593595,"9",1,NA
"74",1132485,"0007AC2B02","0007CB7051",34.5146656485614,NA,"9",1,NA
"75",1132594,"0007AC2B02","0007CB7051",57.3296947903849,103.573233587688,"9",1,"0007CB7051"
"76",1134626,"0007AC2B02","0007CB7051",157.288078643762,NA,"9",1,NA
"77",1160011,"0007AC2B02","0007CB7051",NA,28.5894924790381,"9",1,NA
"78",1164209,"0007AC2B02","0007CB7051",386.885718589958,NA,"9",1,NA
"79",1209581,"0007AC2B02","0007CB7051",246.696658431669,NA,"9",1,NA
"80",1279626,"0007AC2B02","0007CB7051",54.452162088054,NA,"9",1,NA
"81",1282978,"0007AC2B02","0007CB7051",267.296608988946,270.254374990091,"9",1,"0007CB7051"
"82",1283030,"0007AC2B02","0007CB7051",759.075317184207,826.392713577191,"9",1,"0007CB7051"
"83",1334809,"0007AC2B02","0007CB7051",NA,10.9264466461536,"9",1,NA
"84",1335011,"0007AC2B02","0007CB7051",38.0942406263425,NA,"9",1,NA
"85",1628709,"0007AC2B02","0007CB7051",12.2834543247295,NA,"9",1,NA
"86",1670864,"0007AC2B02","0007CB7051",NA,17.5593330550374,"9",1,NA
"87",1671095,"0007AC2B02","0007CB7051",69.7228608942586,18.6670894415309,"9",1,"0007AC2B02"
"88",1671405,"0007AC2B02","0007CB7051",1621.09275640303,78.0197862314394,"9",1,"0007AC2B02"
"89",1691053,"0007AC2B02","0007CB7051",627.741840817155,NA,"9",1,NA
"90",1821634,"0007AC2B02","0007CB7051",NA,NA,"9",1,NA
"91",1821784,"0007AC2B02","0007CB7051",261.618230628212,190.445189903489,"9",1,"0007AC2B02"
"92",1822514,"0007AC2B02","0007CB7051",501.306962493842,NA,"9",1,NA
"93",1822987,"0007AC2B02","0007CB7051",NA,33.9211538428562,"9",1,NA
"94",1840625,"0007AC2B02","0007CB7051",NA,453.073933423748,"9",1,NA
"95",1840743,"0007AC2B02","0007CB7051",84.3955807153514,162.380443619484,"9",1,"0007CB7051"
"96",1843924,"0007AC2B02","0007CB7051",4.55134845786343,288.261743435564,"9",1,"0007CB7051"
"97",2020125,"0007AC2B02","0007CB7051",20.4435816600657,296.024802362411,"9",1,"0007CB7051"
"98",2020228,"0007AC2B02","0007CB7051",43.4356600246444,161.902370946279,"9",1,"0007CB7051"
"99",2041002,"0007AC2B02","0007CB7051",99.3104559218653,NA,"9",1,NA
"100",2041273,"0007AC2B02","0007CB7051",13.7031983426445,33.568893369131,"9",1,"0007CB7051"
"101",2380762,"0007AC2B02","0007CB7051",35.4221216079736,NA,"9",1,NA
"102",2382522,"0007AC2B02","0007CB7051",266.719226634548,57.7450790127576,"9",1,"0007AC2B02"
"103",820688,"0007AC2B02","0007CD6778",115.183489668843,NA,"9",1,NA
"104",920443,"0007AC2B02","0007CD6778",65.6864959383313,28.7053994089922,"9",1,"0007AC2B02"
"105",920490,"0007AC2B02","0007CD6778",71.6832078147457,35.0399129203065,"9",1,"0007AC2B02"
"106",920748,"0007AC2B02","0007CD6778",26.7543462089043,NA,"9",1,NA
"107",959854,"0007AC2B02","0007CD6778",NA,NA,"9",1,NA
"108",959904,"0007AC2B02","0007CD6778",69.537238946538,19.9663593226596,"9",1,"0007AC2B02"
"109",960370,"0007AC2B02","0007CD6778",217.7707421315,23.1370802127889,"9",1,"0007AC2B02"
"110",961900,"0007AC2B02","0007CD6778",211.921395951261,204.703072991005,"9",1,"0007AC2B02"
"111",1275977,"0007AC2B02","0007CD6778",207.655019034102,441.464907297321,"9",1,"0007CD6778"
"112",1276094,"0007AC2B02","0007CD6778",79.977492002904,288.999539423522,"9",1,"0007CD6778"
"113",1277675,"0007AC2B02","0007CD6778",35.0347366826234,116.946602188499,"9",1,"0007CD6778"
"114",1359300,"0007AC2B02","0007CD6778",59.7796235951139,18.5437141030531,"9",1,"0007AC2B02"
"115",1556393,"0007AC2B02","0007CD6778",20.2667999519854,NA,"9",1,NA
