ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,0.775,1,0.324324324324324,1,0.583333333333333,0.767857142857143,0.583333333333333,0.470588235294118,0.542857142857143
0007CB0942,0.225,0,0.25,0.571428571428571,0.666666666666667,0.590909090909091,0.628571428571429,0.533333333333333,0.441176470588235,0.204081632653061
0007CB30A6,0,0.75,0,0.944444444444444,0,0.4,0.384615384615385,0.352941176470588,0.4,0.333333333333333
0007CB486D,0.675675675675676,0.428571428571429,0.0555555555555556,0,0.5,0.282051282051282,0.363636363636364,0.447761194029851,0.387096774193548,0.35
0007CD5116,0,0.333333333333333,1,0.5,0,0,1,0.8,0.454545454545455,0
0007CD86B3,0.416666666666667,0.409090909090909,0.6,0.717948717948718,0,0,0.620689655172414,0.552238805970149,0.621212121212121,0.594594594594595
0007CDC91B,0.232142857142857,0.371428571428571,0.615384615384615,0.636363636363636,0,0.379310344827586,0,0.27027027027027,0.368421052631579,0.206896551724138
0007CDDBAF,0.416666666666667,0.466666666666667,0.647058823529412,0.552238805970149,0.2,0.447761194029851,0.72972972972973,0,0.539325842696629,0.317073170731707
0007CDE223,0.529411764705882,0.558823529411765,0.6,0.612903225806452,0.545454545454545,0.378787878787879,0.631578947368421,0.460674157303371,0,0.185185185185185
0007CDEC0B,0.457142857142857,0.795918367346939,0.666666666666667,0.65,1,0.405405405405405,0.793103448275862,0.682926829268293,0.814814814814815,0
