ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,18.7666666666667,0,85.4,0,22.2666666666667,16.1666666666667,79.1,21.6666666666667,60.5666666666667
0007CB0942,18.7666666666667,0,17.7666666666667,135.233333333333,0,24.5666666666667,30.1666666666667,64.4666666666667,102.533333333333,99
0007CB30A6,0,17.7666666666667,0,175.866666666667,0,71.1333333333333,145.166666666667,90.6,14.3666666666667,36.8666666666667
0007CB486D,85.4,135.233333333333,175.866666666667,0,25.9,226.6,199.833333333333,402.766666666667,92.1,293.133333333333
0007CD5116,0,0,0,25.9,0,0,0,33.2,0,0
0007CD86B3,22.2666666666667,24.5666666666667,71.1333333333333,226.6,0,0,136.666666666667,253.766666666667,171.133333333333,211.766666666667
0007CDC91B,16.1666666666667,30.1666666666667,145.166666666667,199.833333333333,0,136.666666666667,0,357.066666666667,47.0666666666667,65.1666666666667
0007CDDBAF,79.1,64.4666666666667,90.6,402.766666666667,33.2,253.766666666667,357.066666666667,0,249.066666666667,284.3
0007CDE223,21.6666666666667,102.533333333333,14.3666666666667,92.1,0,171.133333333333,47.0666666666667,249.066666666667,0,66.3666666666667
0007CDEC0B,60.5666666666667,99,36.8666666666667,293.133333333333,0,211.766666666667,65.1666666666667,284.3,66.3666666666667,0
