ID,0007CA3A3A,0007CB0942,0007CB30A6,0007CB486D,0007CD5116,0007CD86B3,0007CDC91B,0007CDDBAF,0007CDE223,0007CDEC0B
0007CA3A3A,0,32,28,72,12,68,130,33,105,61
0007CB0942,32,0,9,40,0,39,38,21,73,74
0007CB30A6,28,9,0,36,6,87,58,16,54,50
0007CB486D,72,40,36,0,13,99,113,51,171,99
0007CD5116,12,0,6,13,0,12,5,16,23,21
0007CD86B3,68,39,87,99,12,0,177,82,215,149
0007CDC91B,130,38,58,113,5,177,0,52,185,113
0007CDDBAF,33,21,16,51,16,82,52,0,108,68
0007CDE223,105,73,54,171,23,215,185,108,0,184
0007CDEC0B,61,74,50,99,21,149,113,68,184,0
