ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,117.633333333333,367.366666666667,128.533333333333,154.066666666667,182.5,657.466666666666,200.933333333333,375.7,79
0007CB0942,117.633333333333,0,47.4,116.2,56,93.0666666666667,381.233333333333,240.766666666666,150.466666666667,115.033333333333
0007CB2302,367.366666666667,47.4,0,133.633333333333,67.5333333333334,59.4666666666667,159.266666666667,101.7,70.5,131.5
0007CB30A6,128.533333333333,116.2,133.633333333333,0,13.9666666666667,59.0333333333333,132.733333333333,86.4000000000001,34.7333333333333,26.3
0007CB3713,154.066666666667,56,67.5333333333334,13.9666666666667,0,140.966666666667,411.1,142.6,202.933333333333,150.5
0007CB47A6,182.5,93.0666666666667,59.4666666666667,59.0333333333333,140.966666666667,0,643.1,430.833333333334,250.466666666667,400.9
0007CDDBAF,657.466666666666,381.233333333333,159.266666666667,132.733333333333,411.1,643.1,0,1488.96666666667,712.7,201.333333333334
0007CDE223,200.933333333333,240.766666666666,101.7,86.4000000000001,142.6,430.833333333334,1488.96666666667,0,865.2,339
0007CDEC0B,375.7,150.466666666667,70.5,34.7333333333333,202.933333333333,250.466666666667,712.7,865.2,0,204.333333333334
0007CE0327,79,115.033333333333,131.5,26.3,150.5,400.9,201.333333333334,339,204.333333333334,0
