ID,0007CA3B1C,0007CB1E1F,0007CB2183,0007CB2277,0007CB3D9B,0007CB3F5E,0007CB6BC3,0007F2945F,0007F2B8A6,0007F2E455
0007CA3B1C,0,20.0719705866667,0,35.1575132066666,57.3637066,15.4076557,15.839522225,28.9196316,0,63.8150708666667
0007CB1E1F,20.0719705866667,0,0,0,0,57.921279075,18.0257839875,52.39529832,14.3384681608696,64.0635935555556
0007CB2183,0,0,0,0,0,0,0,0,51.2728216333333,77.489125
0007CB2277,35.1575132066666,0,0,0,47.2288277,3.95337788125,45.7034876571429,72.1949944833333,54.1004224,0
0007CB3D9B,57.3637066,0,0,47.2288277,0,0,7.89165756428571,0,0,1.85425607
0007CB3F5E,15.4076557,57.921279075,0,3.95337788125,0,0,28.4966857142857,56.5116671307693,0,31.3204257647059
0007CB6BC3,15.839522225,18.0257839875,0,45.7034876571429,7.89165756428571,28.4966857142857,0,56.92081146,13.77402978,50.048716975
0007F2945F,28.9196316,52.39529832,0,72.1949944833333,0,56.5116671307693,56.92081146,0,47.22587635,16.0683372484848
0007F2B8A6,0,14.3384681608696,51.2728216333333,54.1004224,0,0,13.77402978,47.22587635,0,12.2184699555556
0007F2E455,63.8150708666667,64.0635935555556,77.489125,0,1.85425607,31.3204257647059,50.048716975,16.0683372484848,12.2184699555556,0
