ID,0007CA3B1C,0007CB1E1F,0007CB2183,0007CB2277,0007CB3D9B,0007CB3F5E,0007CB6BC3,0007F2945F,0007F2B8A6,0007F2E455
0007CA3B1C,0,11.8333333333333,7.7,0,0,11.8,29.9,10.5666666666667,0,0
0007CB1E1F,11.8333333333333,0,3.33333333333333,2.56666666666666,4.9,0,6.41666666666667,7.16666666666665,5.38333333333333,2.73333333333333
0007CB2183,7.7,3.33333333333333,0,24.0666666666667,0,1.33333333333333,20.8666666666667,4.23333333333333,4.4,1.36666666666667
0007CB2277,0,2.56666666666666,24.0666666666667,0,5.9,6.75,79.4,0,1.56666666666667,3
0007CB3D9B,0,4.9,0,5.9,0,4.4,6.53333333333333,0,0,2.4
0007CB3F5E,11.8,0,1.33333333333333,6.75,4.4,0,3.96666666666667,0,4.2,0
0007CB6BC3,29.9,6.41666666666667,20.8666666666667,79.4,6.53333333333333,3.96666666666667,0,47.2,0,0
0007F2945F,10.5666666666667,7.16666666666665,4.23333333333333,0,0,0,47.2,0,8.98333333333334,10.9666666666667
0007F2B8A6,0,5.38333333333333,4.4,1.56666666666667,0,4.2,0,8.98333333333334,0,7.51666666666667
0007F2E455,0,2.73333333333333,1.36666666666667,3,2.4,0,0,10.9666666666667,7.51666666666667,0
