ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,3.11006289308176,1.5,1.1,4.18333333333333,1.73333333333333,1.5952380952381,2.42649572649573,2.42222222222222,16.5761904761905
0007CB7051,3.11006289308176,0,0,0,2.61274509803922,2.51666666666667,2.51666666666667,1.98452380952381,1.97333333333333,0
0007CD5116,1.5,0,0,0,0,0,0,0,0,0
0007CD765E,1.1,0,0,0,1.11666666666667,0,0,0,0,0
0007CD86B3,4.18333333333333,2.61274509803922,0,1.11666666666667,0,1.39166666666667,2.51851851851852,2.9536231884058,1.82222222222222,2.63174603174603
0007CDAD6B,1.73333333333333,2.51666666666667,0,0,1.39166666666667,0,0,3.48333333333333,1.3,0
0007CDADED,1.5952380952381,2.51666666666667,0,0,2.51851851851852,0,0,1.95964912280702,0,1.48333333333333
0007CDC395,2.42649572649573,1.98452380952381,0,0,2.9536231884058,3.48333333333333,1.95964912280702,0,1.18333333333333,2
0007CDC443,2.42222222222222,1.97333333333333,0,0,1.82222222222222,1.3,0,1.18333333333333,0,0
0007CDE4F0,16.5761904761905,0,0,0,2.63174603174603,0,1.48333333333333,2,0,0
