ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,0.52680834470657,0.459958932238194,0,0.319376263355473,0,0.505896382668611,0.237504958349861,0.116574405731032,0.431682787777848
0007CB7051,0.171544663830868,0,0,0,0.0719751660410049,0,0.096462170398834,0.243454978183261,0,0.0228044327717635
0007CD5116,0.0142213192813155,0,0,0,0.00678602367889113,0,0,0.00357001190003967,0,0.00858369098712447
0007CD765E,0,0,0,0,0,0,0,0,0,0
0007CD86B3,0.280871055805981,0.194384870345096,0.193018480492813,0,0,0,0.0727441367430766,0.213804046013487,0.320742429176163,0.454359105758759
0007CDAD6B,0,0,0,0,0,0,0,0,0,0
0007CDADED,0.242397308107423,0.14193799961006,0,0,0.0396332659543749,0,0,0.243950813169377,0,0.109281916597271
0007CDC395,0.152053837851565,0.478650809124585,0.0739219712525669,0,0.155645394166907,0,0.325957334040015,0,0.732985998046236,0.110627121901223
0007CDC443,0.0227287156371024,0,0,0,0.0711088651458273,0,0,0.223224910749703,0,0.0390109538146179
0007CDE4F0,0.427845851057075,0.0694092415675571,0.275154004106777,0,0.512056020791221,0,0.226050086126938,0.171261404204681,0.198306740475415,0
