ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,27.3092656247525,2.55882656666667,0,37.3616680026667,0,60.86654095,29.9385850555556,62.9207097684211,60.0418689434783
0007CB7051,27.3092656247525,0,0,0.738248375,57.4638573444444,0,79.1086305416667,21.8722461617647,15.6097550137931,47.8775024
0007CD5116,2.55882656666667,0,0,1.4792896,0,0,0,0,0,26.88241756875
0007CD765E,0,0.738248375,1.4792896,0,0,0,0,0,2.72659627142857,0
0007CD86B3,37.3616680026667,57.4638573444444,0,0,0,0,40.3562844166667,55.1700967,56.14667214,21.1284350773585
0007CDAD6B,0,0,0,0,0,0,0,0,0,0
0007CDADED,60.86654095,79.1086305416667,0,0,40.3562844166667,0,0,9.72529063541667,0,5.87686652962963
0007CDC395,29.9385850555556,21.8722461617647,0,0,55.1700967,0,9.72529063541667,0,33.1588197235294,55.4271647222222
0007CDC443,62.9207097684211,15.6097550137931,0,2.72659627142857,56.14667214,0,0,33.1588197235294,0,23.8837637
0007CDE4F0,60.0418689434783,47.8775024,26.88241756875,0,21.1284350773585,0,5.87686652962963,55.4271647222222,23.8837637,0
