ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,142.6,29.1,0,121.533333333333,18.7333333333333,27.9,102.366666666667,53.3333333333333,30.2
0007CB7051,142.6,0,16.8666666666667,0,27.5666666666667,3.83333333333333,0,37.4,20.6,0
0007CD5116,29.1,16.8666666666667,0,0,7.13333333333333,0,38.9333333333333,2.76666666666667,0,0
0007CD765E,0,0,0,0,4.53333333333333,0,0,0,4.96666666666667,0
0007CD86B3,121.533333333333,27.5666666666667,7.13333333333333,4.53333333333333,0,0,47.2666666666667,38.1333333333333,125.366666666667,11.3333333333333
0007CDAD6B,18.7333333333333,3.83333333333333,0,0,0,0,0,0,12.8,0
0007CDADED,27.9,0,38.9333333333333,0,47.2666666666667,0,0,67.4666666666667,19.2333333333333,17.6
0007CDC395,102.366666666667,37.4,2.76666666666667,0,38.1333333333333,0,67.4666666666667,0,24.5,3.7
0007CDC443,53.3333333333333,20.6,0,4.96666666666667,125.366666666667,12.8,19.2333333333333,24.5,0,1.16666666666667
0007CDE4F0,30.2,0,0,0,11.3333333333333,0,17.6,3.7,1.16666666666667,0
