ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,1.52870568697061,2.84342776330166,0,1.12037343280966,1.14958747929097,1.00074553635072,1.68901065923598,0.667221238967915,0
0007CB7051,1.52870568697061,0,0,5.15180617918683,1.07791518197955,0.764483675892231,1.79387623786679,0.850720493771825,1.02704604404357,1.89120004084423
0007CD5116,2.84342776330166,0,0,0,2.28788840972711,0,0,0,0,3.31549679398564
0007CD765E,0,5.15180617918683,0,0,0,0,0,0,0,0
0007CD86B3,1.12037343280966,1.07791518197955,2.28788840972711,0,0,1.93469230025744,1.15388511711865,0.775034523239467,0.994411617738006,1.12807742147962
0007CDAD6B,1.14958747929097,0.764483675892231,0,0,1.93469230025744,0,0,0.61075967110883,2.67378516412877,0
0007CDADED,1.00074553635072,1.79387623786679,0,0,1.15388511711865,0,0,2.04833104440518,0.297615606362697,0
0007CDC395,1.68901065923598,0.850720493771825,0,0,0.775034523239467,0.61075967110883,2.04833104440518,0,1.80701538106345,0
0007CDC443,0.667221238967915,1.02704604404357,0,0,0.994411617738006,2.67378516412877,0.297615606362697,1.80701538106345,0,2.95307408309526
0007CDE4F0,0,1.89120004084423,3.31549679398564,0,1.12807742147962,0,0,0,2.95307408309526,0
