ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,253,562,105,86,403,153,304,131,175
0007CB0AD4,253,0,586,115,94,233,107,209,123,100
0007CB2ED2,562,586,0,187,173,380,135,478,233,160
0007CB321B,105,115,187,0,25,83,56,119,144,57
0007CB39C9,86,94,173,25,0,53,45,78,140,48
0007CB464C,403,233,380,83,53,0,215,276,82,109
0007F2B770,153,107,135,56,45,215,0,205,282,188
0007F2B957,304,209,478,119,78,276,205,0,88,97
0007F2BA9B,131,123,233,144,140,82,282,88,0,70
0007F2CA05,175,100,160,57,48,109,188,97,70,0
