ID,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,62,135,20,37,88,41,84,33,38
0007CB0AD4,71,0,128,20,35,59,20,63,39,20
0007CB2ED2,177,128,0,53,49,106,14,166,58,32
0007CB321B,17,33,45,0,8,15,7,34,28,8
0007CB39C9,24,22,24,7,0,11,10,21,25,9
0007CB464C,115,38,107,12,24,0,40,75,23,13
0007F2B770,40,28,33,12,12,39,0,65,52,31
0007F2B957,96,45,144,24,33,68,41,0,36,18
0007F2BA9B,33,29,40,17,39,17,46,13,0,19
0007F2CA05,43,29,45,9,15,20,34,22,10,0
