ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,2.02575757575758,2.25,2.07,1.11666666666667,1.88148148148148,0,1.875,2.25555555555556,2.24791666666667
0007CB3491,2.02575757575758,0,2.12848484848485,2.39831223628692,1.92666666666667,2.35578231292517,1.54666666666667,2.01666666666667,2.33672316384181,2.49283950617284
0007CB4837,2.25,2.12848484848485,0,12.0362626262626,2.42708333333333,2.06785714285714,2.77,3.58361581920904,3.92638888888889,2.44492753623188
0007CB6AB4,2.07,2.39831223628692,12.0362626262626,0,2.18888888888889,1.78725490196078,2.70584795321637,3.68157894736842,2.43976897689769,2.69837398373984
0007CD5116,1.11666666666667,1.92666666666667,2.42708333333333,2.18888888888889,0,2.76458333333333,2.1990990990991,1.60555555555556,2.25833333333333,3.52333333333333
0007CDE223,1.88148148148148,2.35578231292517,2.06785714285714,1.78725490196078,2.76458333333333,0,1.96666666666667,2.21842105263158,2.15503875968992,2.11566265060241
0007CDE4F0,0,1.54666666666667,2.77,2.70584795321637,2.1990990990991,1.96666666666667,0,1.71904761904762,1.65714285714286,2.32971014492754
0007CDEAA7,1.875,2.01666666666667,3.58361581920904,3.68157894736842,1.60555555555556,2.21842105263158,1.71904761904762,0,2.71212121212121,1.94814814814815
0007CDEC0B,2.25555555555556,2.33672316384181,3.92638888888889,2.43976897689769,2.25833333333333,2.15503875968992,1.65714285714286,2.71212121212121,0,2.49723502304147
0007CDEEE2,2.24791666666667,2.49283950617284,2.44492753623188,2.69837398373984,3.52333333333333,2.11566265060241,2.32971014492754,1.94814814814815,2.49723502304147,0
