ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,87.9000000000001,66,38.1,12.8,152.6,0,20.0333333333333,66.3333333333334,60.7000000000001
0007CB3491,87.9000000000001,0,229.166666666667,561.400000000001,23.4666666666667,183.633333333333,37.4666666666666,136.533333333333,315.933333333334,636.4
0007CB4837,66,229.166666666667,0,4121.43333333334,101.1,75.2,47.3,268.266666666666,822.9,366.733333333334
0007CB6AB4,38.1,561.400000000001,4121.43333333334,0,51.8333333333334,250.766666666667,447.7,456.666666666667,1469.3,903.5
0007CD5116,12.8,23.4666666666667,101.1,51.8333333333334,0,68,270.433333333333,13.0333333333333,49.6,66.5333333333333
0007CDE223,152.6,183.633333333333,75.2,250.766666666667,68,0,20.1,143.633333333333,255.466666666666,437.933333333334
0007CDE4F0,0,37.4666666666666,47.3,447.7,270.433333333333,20.1,0,22.5,52.6,188.7
0007CDEAA7,20.0333333333333,136.533333333333,268.266666666666,456.666666666667,13.0333333333333,143.633333333333,22.5,0,242.133333333334,180.166666666667
0007CDEC0B,66.3333333333334,315.933333333334,822.9,1469.3,49.6,255.466666666666,52.6,242.133333333334,0,1092.9
0007CDEEE2,60.7000000000001,636.4,366.733333333334,903.5,66.5333333333333,437.933333333334,188.7,180.166666666667,1092.9,0
