ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,4,0,3,0,13,0,4,3,3
0007CB3491,4,0,12,30,5,32,3,18,33,44
0007CB4837,0,8,0,16,2,9,1,6,16,11
0007CB6AB4,2,54,35,0,1,31,17,34,110,65
0007CD5116,0,3,1,3,0,4,9,1,14,9
0007CDE223,9,20,5,36,1,0,0,28,36,29
0007CDE4F0,0,5,2,33,6,3,0,8,5,7
0007CDEAA7,3,24,5,29,1,26,2,0,15,18
0007CDEC0B,5,30,12,107,6,32,3,16,0,44
0007CDEEE2,3,28,12,54,3,42,5,10,50,0
