ID,0007CB2224,0007CB2302,0007CB3713,0007CB40DE,0007CB47A6,0007CB486D,0007CDEAA7,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB2224,0,0,0,0,0,0,0,0,0,0
0007CB2302,0,0,0,0,0,0,0,0,0,0
0007CB3713,0,0,0,0,0,0,0,0,0,0
0007CB40DE,0,0,0,0,0,0,0,0,0,0
0007CB47A6,0,0,0,0,0,0,3,0,0,0
0007CB486D,0,2,1,2,0,0,0,0,1,1
0007CDEAA7,1,0,0,1,0,0,0,0,0,0
0007CDEC0B,0,1,1,2,0,1,0,0,0,1
0007CDEEE2,1,0,1,0,0,0,0,0,0,2
0007CE0327,0,0,0,0,0,2,0,0,0,0
