ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,48,48,12,43,31,0,36,50,17
0007ABF555,48,0,93,82,83,51,9,95,25,51
0007AC2B02,48,93,0,135,405,90,50,101,103,91
0007ACA781,12,82,135,0,173,58,22,245,90,162
0007CB7051,43,83,405,173,0,106,141,94,172,90
0007CD6778,31,51,90,58,106,0,3,64,45,36
0007CD765E,0,9,50,22,141,3,0,8,15,4
0007CDADED,36,95,101,245,94,64,8,0,109,74
0007CDC443,50,25,103,90,172,45,15,109,0,35
0007CDEAA7,17,51,91,162,90,36,4,74,35,0
