ID,0007CB64B4,0007CB7051,0007CD5116,0007CD765E,0007CD86B3,0007CDAD6B,0007CDADED,0007CDC395,0007CDC443,0007CDE4F0
0007CB64B4,0,0.535201107969299,0.459184838451878,0,0.487358038793577,0.736040609137055,0.231618678432073,0.346014194994397,0.310384321710359,0.243358812451534
0007CB7051,0.251566441533078,0,0.0841847159787495,0.168350168350168,0.136941765700855,0.944162436548223,0.064570943075616,0.230735898393724,0.237301587301587,0.0440496923255544
0007CD5116,0.0545474272384516,0.0478513356562137,0,0.100488306347983,0.00678602367889113,0,0.0351253051666584,0.00357001190003967,0,0.14977359804946
0007CD765E,0,0.0257691087852839,0.0472678916827853,0,0,0,0.123162772158836,0,0.108264136022143,0.125906344410876
0007CD86B3,0.300892396994602,0.179871891049685,0.193018480492813,0,0,0,0.0650837775114126,0.0886813597310422,0.169452483609946,0.296288911044644
0007CDAD6B,0.0126065032168318,0.043205574912892,0,0,0,0,0,0,0,0
0007CDADED,0.123172484878075,0.080123875728923,0.17839068825911,0.845706465959631,0.0560595742811327,0,0,0.32972730668659,0.125329676126174,0.247812119197962
0007CDC395,0.314061355683945,0.445553696116336,0.0739219712525669,0,0.130373657272148,0,0.562775751702328,0,0.447699486149667,0.236268970865182
0007CDC443,0.0783841110682607,0.111382031223543,0,0.354571354571355,0.0630230872306307,0,0.0549542048293089,0.113261113186403,0,0.0325089980262394
0007CDE4F0,0.148967911682534,0.0624979408954634,1.02186311787073,0.570304481696887,0.293763592030402,0,0.285251587564714,0.159342547627942,0.0890811911427843,0
