ID,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,42.3243315857143,18.86568745,0,23.88498795,0,54.2453494944444,11.4372842631579,65.66492885,56.0181418285714
0007CB0F67,42.3243315857143,0,60.438763425,0,0,0,5.24201425454545,0,72.3068592,3.11408926666667
0007CB48B4,18.86568745,60.438763425,0,26.92889735,0,0,69.7288440333333,39.5642014,65.2519955333333,0
0007CB6DFA,0,0,26.92889735,0,27.76557095,0,0,82.08562695,62.659294,3.96932716666667
0007F29741,23.88498795,0,0,27.76557095,0,0,18.7617711142857,0,0,0
0007F2B88A,0,0,0,0,0,0,1.78959282666667,5.02465233333333,0,0
0007F2C687,54.2453494944444,5.24201425454545,69.7288440333333,0,18.7617711142857,1.78959282666667,0,0,23.2734884904762,37.7088050666667
0007F2EEFA,11.4372842631579,0,39.5642014,82.08562695,0,5.02465233333333,0,0,0,66.74620865
0007F2F26A,65.66492885,72.3068592,65.2519955333333,62.659294,0,0,23.2734884904762,0,0,1.10668054166667
0007F2F283,56.0181418285714,3.11408926666667,0,3.96932716666667,0,0,37.7088050666667,66.74620865,1.10668054166667,0
