ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,0.0812262784429491,0.0328485147294466,0.0173828417427759,0.0308289360354027,0.0610735735735736,0,0.093526807812522,0.116933968174414,0.0365551773608259
0007ABF555,0.177833085785396,0,0.071892898198354,0.0819284324000599,0.0617915235276063,0.0748969640680328,0.0412067696835909,0.138257880024419,0.0560080190452325,0.121349607003642
0007AC2B02,0.238663193031019,0.234585318086007,0,0.232190447671807,0.461236127473789,0.359014918441981,0.265879866126475,0.190962739238934,0.257298584137326,0.181594418970998
0007ACA781,0.0754582087612115,0.181640138752884,0.157763558123684,0,0.142947658129473,0.119303999535613,0.122159668995455,0.431374439053648,0.139602389007225,0.348687726799629
0007CB7051,0.202391784739373,0.207183283265008,0.473951922196564,0.21618505764336,0,0.273727288558658,0.778172081169145,0.149021623879446,0.36498141419204,0.208993220625052
0007CD6778,0.130625025089318,0.0856583293223349,0.125835461194926,0.0615436442581225,0.093367917710303,0,0.0530008253743662,0.0768279679666055,0.103198098185651,0.097471096233368
0007CD765E,0,0.0187040748162993,0.04212106667262,0.0301442774411676,0.119400251462741,0.0385903159340659,0,0.0160347482131457,0.0308458532827032,0.0280423785434762
0007CDADED,0.333165398760643,0.214253705332691,0.0906926825298325,0.301519688576134,0.0688750507380529,0.10249852449341,0.0476668899307882,0,0.14745437079731,0.120608174632198
0007CDC443,0.363934745872871,0.08902756800717,0.125342068586659,0.100089833807456,0.173029136017582,0.146311605723371,0.0937643762285141,0.151249344000685,0,0.0787645222087823
0007CDEAA7,0.0844598986091252,0.133305254290828,0.0656720821168069,0.1855891600539,0.0735528517260836,0.100568874441284,0.0707304155231354,0.0918399040366717,0.0584722048197803,0
