ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,16,18,15,22,16,0,19,23,14
0007ABF555,19,0,71,44,61,24,5,33,22,24
0007AC2B02,28,75,0,119,353,86,20,58,98,69
0007ACA781,10,53,103,0,149,35,6,116,48,81
0007CB7051,14,75,286,129,0,69,38,47,99,75
0007CD6778,11,30,88,35,89,0,1,25,39,21
0007CD765E,0,7,19,16,91,6,0,4,3,8
0007CDADED,14,41,51,141,64,24,4,0,42,31
0007CDC443,20,24,80,82,131,30,9,31,0,22
0007CDEAA7,12,32,64,110,82,23,7,36,28,0
