ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,22,18,10,2,36,0,8,9,16
0007CB3491,22,0,55,79,10,49,5,32,59,135
0007CB4837,18,55,0,330,32,28,10,59,168,115
0007CB6AB4,10,79,330,0,12,34,57,76,202,123
0007CD5116,2,10,32,12,0,16,37,6,12,10
0007CDE223,36,49,28,34,16,0,2,38,43,83
0007CDE4F0,0,5,10,57,37,2,0,7,14,46
0007CDEAA7,8,32,59,76,6,38,7,0,55,45
0007CDEC0B,9,59,168,202,12,43,14,55,0,217
0007CDEEE2,16,135,115,123,10,83,46,45,217,0
