ID,0007CB2224,0007CB3491,0007CB4837,0007CB6AB4,0007CD5116,0007CDE223,0007CDE4F0,0007CDEAA7,0007CDEC0B,0007CDEEE2
0007CB2224,0,0.116434641113723,0,0.110516864459713,0,0.0794535322667625,0,0,0.0252521690061367,0.0703869882220975
0007CB3491,0.272881355932204,0,0.209018567639257,0.126405371642723,0,0.154413086464138,0,0.227687113111986,0.130351978556817,0.20176668536175
0007CB4837,0,0.0712348580726814,0,0.0986492816989381,0,0.00988675175265145,0,0,0.0286026662904705,0.0130398205272014
0007CB6AB4,0.599788135593222,0.292713794973783,0.670291777188327,0,0,0.156030918569117,0.940217391304343,0.447608328643782,0.502080835155533,0.17807066741447
0007CD5116,0,0,0,0,0,0.0250763976271796,0,0,0,0
0007CDE223,0.187288135593221,0.155306454529018,0.0291777188328912,0.0677701436602124,0.905844155844153,0,0,0.223635340461452,0.213726458348029,0.219994391475042
0007CDE4F0,0,0,0,0.0135071830106183,0,0,0,0,0,0
0007CDEAA7,0,0.182878322184054,0,0.155254528419738,0,0.17859068847744,0,0,0.116279889962616,0
0007CDEC0B,0.151694915254238,0.334116796239378,0.215119363395225,0.55574640849469,0,0.544670142009706,0,0.371074845244794,0,0.639371845204712
0007CDEEE2,0.10635593220339,0.130084975592117,0.0246684350132625,0.0495783885071829,0,0.141021031817365,0,0,0.160823869648022,0
