ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,2.77548106765984,1.85128205128205,2.46362098138748,2.71534772182254,3.0129117259552,3.27388888888889,2.27366255144033,5.07469879518072,2.80761904761905
0007ACA781,2.77548106765984,0,3.945,3.68347107438017,4.18679245283019,3.26592592592592,3.08858024691358,5.66840958605664,4.7309811827957,8.61604938271605
0007CB2224,1.85128205128205,3.945,0,2.57291666666667,3.09494047619047,4.2859649122807,3.7,2.28611111111111,2.52321428571429,2.91548117154812
0007CD38E5,2.46362098138748,3.68347107438017,2.57291666666667,0,3.88480725623583,5.40550724637681,2.19006703229738,4.20555555555555,4.19632545931759,3.53333333333333
0007CD72E3,2.71534772182254,4.18679245283019,3.09494047619047,3.88480725623583,0,3.44129353233831,2.63232931726908,3.14524590163934,6.19955849889626,3.73142076502732
0007CD7FB2,3.0129117259552,3.26592592592592,4.2859649122807,5.40550724637681,3.44129353233831,0,3.28333333333334,3.41086142322098,2.90380952380952,4.87387387387388
0007CD81D3,3.27388888888889,3.08858024691358,3.7,2.19006703229738,2.63232931726908,3.28333333333334,0,2.80612244897959,3.8740990990991,2.59022482893451
0007CDEAA7,2.27366255144033,5.66840958605664,2.28611111111111,4.20555555555555,3.14524590163934,3.41086142322098,2.80612244897959,0,3.13833333333333,2.43194444444444
0007CDEEE2,5.07469879518072,4.7309811827957,2.52321428571429,4.19632545931759,6.19955849889626,2.90380952380952,3.8740990990991,3.13833333333333,0,3.23736730360934
0007CE0327,2.80761904761905,8.61604938271605,2.91548117154812,3.53333333333333,3.73142076502732,4.87387387387388,2.59022482893451,2.43194444444444,3.23736730360934,0
