ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,276,175,43,221,287,233,47,232,88
0007CB2224,276,0,375,99,442,405,1109,68,329,376
0007CB3491,175,375,0,40,201,207,216,45,121,49
0007CB4837,43,99,40,0,56,45,99,36,34,21
0007CD72E3,221,442,201,56,0,371,451,136,243,127
0007CD77C5,287,405,207,45,371,0,423,85,1508,153
0007CDE223,233,1109,216,99,451,423,0,118,250,287
0007CDEC0B,47,68,45,36,136,85,118,0,30,46
0007CDEEE2,232,329,121,34,243,1508,250,30,0,129
0007CE0327,88,376,49,21,127,153,287,46,129,0
