ID,0007CB0942,0007CB2224,0007CB3491,0007CB4837,0007CD72E3,0007CD77C5,0007CDE223,0007CDEC0B,0007CDEEE2,0007CE0327
0007CB0942,0,862.266666666666,416.3,97.8333333333334,823.266666666667,847.966666666666,525.066666666667,79.6333333333333,477.1,175.633333333333
0007CB2224,862.266666666666,0,876.2,231.866666666667,1275.4,1301.56666666667,3499,183.566666666667,881.099999999999,1262.66666666667
0007CB3491,416.3,876.2,0,74.3,592.233333333333,527.600000000001,461.3,95.5,266.7,122
0007CB4837,97.8333333333334,231.866666666667,74.3,0,125.733333333333,92.7333333333333,220.066666666666,81.7666666666667,55.4333333333333,46.7999999999999
0007CD72E3,823.266666666667,1275.4,592.233333333333,125.733333333333,0,1118.46666666667,1143.63333333333,304.9,593.1,239
0007CD77C5,847.966666666666,1301.56666666667,527.600000000001,92.7333333333333,1118.46666666667,0,1082.33333333333,248.966666666667,4394.06666666666,421.766666666667
0007CDE223,525.066666666667,3499,461.3,220.066666666666,1143.63333333333,1082.33333333333,0,258.133333333333,521.933333333333,759.9
0007CDEC0B,79.6333333333333,183.566666666667,95.5,81.7666666666667,304.9,248.966666666667,258.133333333333,0,55.2333333333333,84.0666666666667
0007CDEEE2,477.1,881.099999999999,266.7,55.4333333333333,593.1,4394.06666666666,521.933333333333,55.2333333333333,0,248.166666666667
0007CE0327,175.633333333333,1262.66666666667,122,46.7999999999999,239,421.766666666667,759.9,84.0666666666667,248.166666666667,0
