ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,2.25952380952381,0,2.6952380952381,2.28333333333333,0,1.95,0,0,0
0007ACA781,2.25952380952381,0,0,3.48666666666667,2,0,1.73,2.37777777777778,2.6551724137931,0
0007CB2224,0,0,0,0,0,0,0,0,0,0
0007CD38E5,2.6952380952381,3.48666666666667,0,0,2.56,1.51333333333333,2.02624113475177,2.13333333333333,5.72,0
0007CD72E3,2.28333333333333,2,0,2.56,0,3.01428571428571,1.90555555555556,1.96666666666667,1.5875,1.73333333333333
0007CD7FB2,0,0,0,1.51333333333333,3.01428571428571,0,0,0,0,0
0007CD81D3,1.95,1.73,0,2.02624113475177,1.90555555555556,0,0,1.7,2.84074074074074,1.6030303030303
0007CDEAA7,0,2.37777777777778,0,2.13333333333333,1.96666666666667,0,1.7,0,1.73333333333333,2.04444444444444
0007CDEEE2,0,2.6551724137931,0,5.72,1.5875,0,2.84074074074074,1.73333333333333,0,3.69375
0007CE0327,0,0,0,0,1.73333333333333,0,1.6030303030303,2.04444444444444,3.69375,0
