ID,0007ABF555,0007ACA781,0007CB2224,0007CD38E5,0007CD72E3,0007CD7FB2,0007CD81D3,0007CDEAA7,0007CDEEE2,0007CE0327
0007ABF555,0,9.23114782040816,51.319232325,28.6144512933333,52.0062082428571,38.9845719815789,51.10606622,22.87157728,0,45.437529775
0007ACA781,9.23114782040816,0,59.5600064333333,53.0873300714286,56.5914340882353,34.1795744767442,55.4213799,63.68406735,1.51966598666667,63.86831336
0007CB2224,51.319232325,59.5600064333333,0,54.73657625,17.1535608647059,18.6048017833333,0,0,35.53931703,6.39902900769231
0007CD38E5,28.6144512933333,53.0873300714286,54.73657625,0,40.6143887653846,42.7941101867925,14.337102220339,0,54.1324202583333,51.8262717580645
0007CD72E3,52.0062082428571,56.5914340882353,17.1535608647059,40.6143887653846,0,21.0411027979592,23.4039655333333,18.2060457769231,38.2781397461538,35.1561693125
0007CD7FB2,38.9845719815789,34.1795744767442,18.6048017833333,42.7941101867925,21.0411027979592,0,54.909123905,30.7183314375,46.8793036421053,38.1719950961538
0007CD81D3,51.10606622,55.4213799,0,14.337102220339,23.4039655333333,54.909123905,0,0,54.6726045052632,22.0229714225806
0007CDEAA7,22.87157728,63.68406735,0,0,18.2060457769231,30.7183314375,0,0,28.3386719217391,0
0007CDEEE2,0,1.51966598666667,35.53931703,54.1324202583333,38.2781397461538,46.8793036421053,54.6726045052632,28.3386719217391,0,1.05761945263158
0007CE0327,45.437529775,63.86831336,6.39902900769231,51.8262717580645,35.1561693125,38.1719950961538,22.0229714225806,0,1.05761945263158,0
