ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,20,1,10,24,6,0,7,58,8
0007ABF555,20,0,10,105,44,13,3,51,24,46
0007AC2B02,1,10,0,64,112,12,1,18,30,23
0007ACA781,10,105,64,0,112,40,4,117,56,177
0007CB7051,24,44,112,112,0,41,50,24,44,81
0007CD6778,6,13,12,40,41,0,0,21,28,54
0007CD765E,0,3,1,4,50,0,0,5,0,13
0007CDADED,7,51,18,117,24,21,5,0,113,37
0007CDC443,58,24,30,56,44,28,0,113,0,28
0007CDEAA7,8,46,23,177,81,54,13,37,28,0
