ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,2.44848484848485,2.41609195402299,2.15,1.76111111111111,1.85797101449275,0,3.28452380952381,1.4962962962963,1.78571428571429
0007ABF555,2.44848484848485,0,2.01981981981982,1.88055555555556,1.59555555555556,2.38918918918919,1.9,3.07361111111111,2.91777777777778,3.04954954954955
0007AC2B02,2.41609195402299,2.01981981981982,0,2.21695906432749,3.7957264957265,4.73829787234043,1.70740740740741,4.15611111111111,4.25333333333333,2.7937984496124
0007ACA781,2.15,1.88055555555556,2.21695906432749,0,2.02222222222222,2.43529411764706,2.67857142857143,2.89455782312925,2.22702702702703,2.23944444444444
0007CB7051,1.76111111111111,1.59555555555556,3.7957264957265,2.02222222222222,0,2.81333333333333,2.31587301587302,3.41565656565657,5.22584269662921,2.03131313131313
0007CD6778,1.85797101449275,2.38918918918919,4.73829787234043,2.43529411764706,2.81333333333333,0,0,2.95424836601307,3.84529914529915,3.89166666666667
0007CD765E,0,1.9,1.70740740740741,2.67857142857143,2.31587301587302,0,0,3.41666666666667,1.17777777777778,1.9
0007CDADED,3.28452380952381,3.07361111111111,4.15611111111111,2.89455782312925,3.41565656565657,2.95424836601307,3.41666666666667,0,3.41428571428571,2.27368421052632
0007CDC443,1.4962962962963,2.91777777777778,4.25333333333333,2.22702702702703,5.22584269662921,3.84529914529915,1.17777777777778,3.41428571428571,0,1.8037037037037
0007CDEAA7,1.78571428571429,3.04954954954955,2.7937984496124,2.23944444444444,2.03131313131313,3.89166666666667,1.9,2.27368421052632,1.8037037037037,0
