ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,0,68.7222151,64.900023725,63.73706385,0,0,0,19.774850175,0
0007ABF555,0,0,0,40.5579913676471,57.8279463791667,0,0,0,55.43023385,59.4864304636364
0007AC2B02,68.7222151,0,0,59.3236168515151,26.83168665,69.56916735,62.2765609,74.4018803,48.43247505,57.0026570666667
0007ACA781,64.900023725,40.5579913676471,59.3236168515151,0,56.4088501818182,70.26185885,63.9147925,27.2644086222222,53.6570630428571,40.1567008719298
0007CB7051,63.73706385,57.8279463791667,26.83168665,56.4088501818182,0,61.6808382545455,1.558194325,75.25297378,34.9526510666667,61.6654951659091
0007CD6778,0,0,69.56916735,70.26185885,61.6808382545455,0,0,0,0,9.8515109
0007CD765E,0,0,62.2765609,63.9147925,1.558194325,0,0,0,0,37.5987904
0007CDADED,0,0,74.4018803,27.2644086222222,75.25297378,0,0,0,12.8332791230769,43.1478516428571
0007CDC443,19.774850175,55.43023385,48.43247505,53.6570630428571,34.9526510666667,0,0,12.8332791230769,0,52.196909325
0007CDEAA7,0,59.4864304636364,57.0026570666667,40.1567008719298,61.6654951659091,9.8515109,37.5987904,43.1478516428571,52.196909325,0
