ID,0006CB224,0007ABF555,0007AC2B02,0007ACA781,0007CB7051,0007CD6778,0007CD765E,0007CDADED,0007CDC443,0007CDEAA7
0006CB224,0,0,2.6,6.7,10.6,0,0,0,10.7666666666667,0
0007ABF555,0,0,0,90.1333333333333,88.8333333333333,0,0,0,12.0333333333333,19.3666666666667
0007AC2B02,2.6,0,0,112.5,88.2333333333333,10.0333333333333,1.6,6.76666666666667,2.56666666666667,63.0333333333333
0007ACA781,6.7,90.1333333333333,112.5,0,173.966666666667,33.2666666666667,3.4,30.8666666666667,13.9333333333333,202.166666666667
0007CB7051,10.6,88.8333333333333,88.2333333333333,173.966666666667,0,19.8,11.6,7.13333333333333,18.6,113.033333333333
0007CD6778,0,0,10.0333333333333,33.2666666666667,19.8,0,0,0,0,6.1
0007CD765E,0,0,1.6,3.4,11.6,0,0,0,0,3.23333333333333
0007CDADED,0,0,6.76666666666667,30.8666666666667,7.13333333333333,0,0,0,22.0666666666667,9.7
0007CDC443,10.7666666666667,12.0333333333333,2.56666666666667,13.9333333333333,18.6,0,0,22.0666666666667,0,12.1666666666667
0007CDEAA7,0,19.3666666666667,63.0333333333333,202.166666666667,113.033333333333,6.1,3.23333333333333,9.7,12.1666666666667,0
