Mouse_RFID,unique_identifier,group,repetition,fur_pattern,age,mutant,weight_pre,weight_post,weight_diff,rank_by_tube,DS_by_tube,rank_by_chasing,DS_by_chasing,chasing_pc1,chasing_pc2,log10(baseline_rate_mean),cs_plus_detection_speed,cs_plus_detection_speed_intraphase_shaping,cs_plus_detection_speed_crossreversal_shaping,cs_plus_pc1,cs_plus_pc2,cs_minus_pc1,cs_minus_pc2,switching_pc1,switching_pc2,switching_pc3,switching_pc4,switching_pc5,switching_pc6,shaping_pc1,shaping_pc2,shaping_pc3,time_in_arena_average,log10(corner_to_middle_ratio_average),ratio_social_to_total_time_average,social_interaction_pc1,social_interaction_pc2,social_interaction_pc3,social_interaction_pc4,social_interaction_pc5,social_interaction_pc6,social_interaction_pc7,social_interaction_pc8,social_interaction_pc9
0007CB44CE,12,1,1,7,55,0,25.92,24.82,-1.1,3,7.71428571428571,9,-19.0714285714286,-0.235537855447573,0.675917086668388,0.0280747269350573,0.15,1,1,-0.985096839515143,0.727601552634354,1.28128304322998,0.56302241256114,1.78117826560196,-0.193110920905895,3.15882309712574,1.16965896401213,-4.90126786999716,0.724481690963083,-1.91804822726745,1.13038322633601,0.667048764346841,5186.67111111111,1.92627631787815,0.1107831098688,3.78577085224546,-2.59310937816726,0.416275642535305,-3.48056524093175,-2.41703397530779,2.31114976297669,0.913820134625961,-0.908439376925321,0.349482465290478
0007CDDBAF,32,1,1,9,57,0,31.46,32.64,1.18,6,-6.05952380952381,7,2.04545454545455,0.298663798936504,-0.690950594729116,0.783803589992642,0.6,0.266666666666667,5.33333333333333,-1.72471934459743,0.47640641023778,-1.18902751420939,0.46097262955485,-1.27488837248178,4.64635065996923,0.644343713313125,2.23735502345727,-1.26807955155242,-0.109376446473998,-0.252373888095531,0.126151744710994,0.883705513611743,3852.72888888889,3.46881080721524,0.121008024326769,0.147052737373382,-2.10932889799527,0.562118116708709,-0.105901718332373,0.353830525749825,-4.02760814765048,-1.24992155817681,2.44077365705822,1.54682363023704
0007CD765E,22,1,1,5,57,0,31.68,31.11,-0.57,9,-13.25,10,-26.75,-2.87541607494069,0.783488916523878,-0.0563364268708446,0.45,1.16666666666667,1.09090909090909,-0.172921710311005,0.308856381517252,0.405454795223596,0.44471742262408,9.56233872694476,-0.96998483762677,-2.51771708151706,0.322314443600034,-0.731916486482827,2.81753807712355,1.52257981930443,0.461130673279733,1.54069038695369,2326.60222222222,1.43598248905699,0.10523978219072,-6.46765879652486,1.263259826245,2.45268112340518,0.533078287025186,-4.20214291208788,0.435632735677251,0.307158804422404,-0.69819090666896,-0.408276564187507
0007CB7051,17,1,1,4,56,0,32.58,33.98,1.4,1,28.9619047619048,4,6.68722369584438,3.54155754113188,1.18699626811229,0.154254913125929,0.55,0.833333333333333,1.5,-0.801126897630516,1.08579394953494,-1.16017057874522,0.0429209158421288,7.17468135810982,1.21261990874184,-1.61096863381376,2.78611015604446,-0.341191426477489,1.297221878762,-0.888556515867169,0.550014395062693,0.823478085984172,4803.80888888889,1.18875791761775,0.100895863190043,2.78456996697107,-1.0339000521614,1.91330008672809,-0.285711909005694,-1.46393432491289,-2.83028581104779,-0.776339882640359,-0.116013781669474,-1.31682247756112
0007CD77C5,23,1,1,10,57,1,32.71,33.98,1.27,2,17.6666666666667,2,7.86306447176013,2.13651037898545,1.06931750880615,0.719899091006379,0.3,1.33333333333333,1.16666666666667,-1.9259502618856,0.125834951829678,-1.62083354623962,0.245022859556619,2.29323272252916,3.20691350794419,0.145531690180866,3.13511622523802,-0.0767673866301861,-2.00314006589513,-1.55728814547857,0.850883908167872,1.30005773754205,9067.12,1.46476341374171,0.0911510797009169,6.67471450011467,-0.852217464619464,2.80086452816679,-0.988693004635942,-0.836799474042512,-0.521646480726058,0.252263703154217,-0.978391467361689,-0.520287158781546
0007AC2B02,2,1,1,3,55,0,33.59,33.34,-0.25,4,2.77777777777778,3,7.81930463339759,2.53132868978542,0.701844948543807,0.348784407765416,0.3,0.714285714285714,1,-1.468643331267,-0.944189768528539,-2.56120803180009,0.275512494171541,5.35667871485603,0.910972892368646,-0.218677420580458,-1.07829863208401,-1.11792587659893,-2.25903927485861,2.50117557534369,-1.88638114953404,-0.279559260160014,8459.23777777778,1.27831521736789,0.101997894740713,7.61863846093099,-0.691325357412114,0.849695041463241,-1.33932199200403,-0.750815939900535,-0.134663135031434,-0.233382380950332,0.349257488245691,-0.841867458672167
0007CB0942,5,1,1,1,55,0,34.36,34.69,0.329999999999998,8,-11.75,8,1.32738095238095,1.82611926821403,-0.232969744760966,0.406602367746317,0.15,1.33333333333333,0.4,-1.54555966051248,-0.386331994376495,1.25834063158659,3.38714409266265,-5.53780081122215,3.68357380356892,2.46083009883864,1.1649284414744,-0.717991621240581,0.441156910771756,-2.67150554236432,-0.162034671666926,2.77714631327443,3262.67111111111,1.62397398437268,0.115661196483863,-2.22743171950407,0.586957439218479,3.66070476727415,2.14928290446536,-2.42336790321249,-3.36060606222509,-0.0404973328049716,0.495070304561405,-0.83843962932386
0007CD6778,20,1,1,2,57,1,36.42,37.81,1.39,7,-6.89444444444444,5,6.28571428571428,-1.67808931915868,-1.25635300471574,0.275211016761745,0.3,1.16666666666667,0.625,-1.1645541710344,0.145969969870585,-0.26481065508594,0.491264225386408,-1.18635568296251,2.85458964898411,-0.0873660384275277,1.77878923045191,-0.972999299781576,1.09073424161395,-1.05390273119532,1.08619933996235,1.50135157308881,3344.80666666667,1.25618285289538,0.0647086063104129,-7.27871399536527,-0.705773293151877,1.09059512284611,-0.950506446591593,-3.58528134236519,1.60832606979924,0.243724150985722,-0.410601575767013,-0.102502653192786
0007CDC443,30,1,1,6,55,0,36.46,37.53,1.07,5,-2.25,6,3.58333333333334,-0.673952867099381,-1.68665014646557,0.774919190629875,0.5,1,1,-1.9649223910851,-0.00306239209740197,-0.420122140809266,3.21195093873831,-1.05986111629401,3.35309985520658,-1.18591757150543,0.841383144352584,0.439539192563219,0.249468908672677,0.947077828748531,1.91386221442046,-1.07659386127332,3438.52888888889,1.81231484269519,0.122204715453249,-1.06753677841821,-1.51903791787972,-1.03895025214449,-0.142016031149774,-1.14187523121432,-4.38737607230229,-0.491978896677116,1.35185531648143,1.68398215845431
0007CDADED,28,1,1,8,55,0,36.89,37.75,0.859999999999999,10,-16.9166666666667,1,10.2099526535434,-1.99048379089982,-2.59246100891692,0.432196433745668,0.1,1.5,0.2,-1.69667321074251,0.181767305852352,1.46298818378657,3.15280911534947,-3.2034671892601,2.78972379629381,-0.265607993935895,-0.0114573705350997,-0.268547755734395,1.0435418227993,-0.826526315533929,1.91301418596983,1.2217060601689,4711.24,1.86304579347188,0.0926493520460289,-1.08710363286252,-0.200297756956535,2.88334220613059,1.30671071519292,-1.50992336348005,-2.95504070874204,0.198048732208891,1.33242163537624,-0.534166342876551
