ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,5.408,2.03508771929825,1.82619047619048,2.73333333333333,1.93333333333333,2.988,2.41666666666667,7.13333333333333,4.40493827160494
0007CB0942,5.408,0,2.36666666666667,1.69888888888889,1.70555555555556,7.04166666666667,3.9275641025641,3.36380952380952,2.75833333333333,1.67916666666667
0007CB2302,2.03508771929825,2.36666666666667,0,1.60933333333333,2.0952380952381,0,1.91428571428571,1.35333333333333,2.9,2.43939393939394
0007CB30A6,1.82619047619048,1.69888888888889,1.60933333333333,0,1.82222222222222,2.39583333333333,2.38550724637681,2.70666666666667,1.64444444444444,1.32307692307692
0007CB3713,2.73333333333333,1.70555555555556,2.0952380952381,1.82222222222222,0,2.42528735632184,2.96811594202899,3.65555555555556,4.71904761904762,2.02
0007CB47A6,1.93333333333333,7.04166666666667,0,2.39583333333333,2.42528735632184,0,4.43064516129032,4.87136150234742,4.21470588235294,6.33563218390805
0007CDDBAF,2.988,3.9275641025641,1.91428571428571,2.38550724637681,2.96811594202899,4.43064516129032,0,4.70751633986928,3.10860215053763,3.72222222222222
0007CDE223,2.41666666666667,3.36380952380952,1.35333333333333,2.70666666666667,3.65555555555556,4.87136150234742,4.70751633986928,0,3.08905472636816,1.79569892473118
0007CDEC0B,7.13333333333333,2.75833333333333,2.9,1.64444444444444,4.71904761904762,4.21470588235294,3.10860215053763,3.08905472636816,0,2.73333333333333
0007CE0327,4.40493827160494,1.67916666666667,2.43939393939394,1.32307692307692,2.02,6.33563218390805,3.72222222222222,1.79569892473118,2.73333333333333,0
