ID,0007CA3B1C,0007CB1E1F,0007CB2183,0007CB2277,0007CB3D9B,0007CB3F5E,0007CB6BC3,0007F2945F,0007F2B8A6,0007F2E455
0007CA3B1C,0,2.51111111111111,0,2.16666666666667,1.16666666666667,1.34444444444444,2.18333333333333,1.55833333333333,0,1.56666666666667
0007CB1E1F,2.51111111111111,0,0,0,0,0,0,2.5,2.94848484848485,1.92
0007CB2183,0,0,0,0,0,0,0,0,0,0
0007CB2277,2.16666666666667,0,0,0,1.84444444444444,1.82380952380952,1.45555555555556,0,0,0
0007CB3D9B,1.16666666666667,0,0,1.84444444444444,0,0,1.38095238095238,0,0,1.92222222222222
0007CB3F5E,1.34444444444444,0,0,1.82380952380952,0,0,0,3.23333333333333,0,0
0007CB6BC3,2.18333333333333,0,0,1.45555555555556,1.38095238095238,0,0,2.4,1.83333333333333,0
0007F2945F,1.55833333333333,2.5,0,0,0,3.23333333333333,2.4,0,1.44666666666667,2.58333333333333
0007F2B8A6,0,2.94848484848485,0,0,0,0,1.83333333333333,1.44666666666667,0,1.74444444444444
0007F2E455,1.56666666666667,1.92,0,0,1.92222222222222,0,0,2.58333333333333,1.74444444444444,0
