ID,0007CA3B1C,0007CB1E1F,0007CB2183,0007CB2277,0007CB3D9B,0007CB3F5E,0007CB6BC3,0007F2945F,0007F2B8A6,0007F2E455
0007CA3B1C,0,8.86666666666667,6.9,76.5333333333333,0,17.6666666666667,13,14.8666666666667,0,9.26666666666667
0007CB1E1F,8.86666666666667,0,3.76666666666667,0,0,0,0,1.2,0,2.16666666666667
0007CB2183,6.9,3.76666666666667,0,2.53333333333333,4.8,0,5.13333333333333,0,0,0
0007CB2277,76.5333333333333,0,2.53333333333333,0,68.6666666666667,100.9,15.5333333333333,0,5.26666666666667,2.76666666666667
0007CB3D9B,0,0,4.8,68.6666666666667,0,50.6333333333333,133.333333333333,30.5333333333333,0,9
0007CB3F5E,17.6666666666667,0,0,100.9,50.6333333333333,0,72.4,5.5,8.3,21.3
0007CB6BC3,13,0,5.13333333333333,15.5333333333333,133.333333333333,72.4,0,8.43333333333333,19,9.53333333333333
0007F2945F,14.8666666666667,1.2,0,0,30.5333333333333,5.5,8.43333333333333,0,3.53333333333333,8.8
0007F2B8A6,0,0,0,5.26666666666667,0,8.3,19,3.53333333333333,0,26.5333333333333
0007F2E455,9.26666666666667,2.16666666666667,0,2.76666666666667,9,21.3,9.53333333333333,8.8,26.5333333333333,0
