ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,63.1413466928571,18.6098100560976,51.8179427263158,53.40653825,50.577179045,58.6188532116667,58.4121923911392,57.8437335390244,47.7664185805556
0007CB0942,63.1413466928571,0,0,57.6190996285714,0,63.722117,47.8748288527778,56.06248478,62.3351048090909,54.7531959
0007CB2302,18.6098100560976,0,0,15.2011115357143,10.551331725,58.6490438,50.6175324375,68.25501536875,69.2306557464286,53.2446505833333
0007CB30A6,51.8179427263158,57.6190996285714,15.2011115357143,0,69.896492675,66.7576772785714,71.1161416666667,66.5372668166667,63.3732068714286,50.8254759666667
0007CB3713,53.40653825,0,10.551331725,69.896492675,0,12.4008642428571,70.807351808,62.4686097565217,44.130538946875,54.5092436333333
0007CB47A6,50.577179045,63.722117,58.6490438,66.7576772785714,12.4008642428571,0,59.5026978333333,36.5188223560976,26.2601314461538,30.8967180090909
0007CDDBAF,58.6188532116667,47.8748288527778,50.6175324375,71.1161416666667,70.807351808,59.5026978333333,0,53.8844827856,57.0296600112903,63.891601
0007CDE223,58.4121923911392,56.06248478,68.25501536875,66.5372668166667,62.4686097565217,36.5188223560976,53.8844827856,0,36.7192049074074,34.2888380217391
0007CDEC0B,57.8437335390244,62.3351048090909,69.2306557464286,63.3732068714286,44.130538946875,26.2601314461538,57.0296600112903,36.7192049074074,0,55.42538696
0007CE0327,47.7664185805556,54.7531959,53.2446505833333,50.8254759666667,54.5092436333333,30.8967180090909,63.891601,34.2888380217391,55.42538696,0
