ID,0007CA3A3A,0007CB0942,0007CB2302,0007CB30A6,0007CB3713,0007CB47A6,0007CDDBAF,0007CDE223,0007CDEC0B,0007CE0327
0007CA3A3A,0,2.58333333333333,1.88533333333333,2.06666666666667,1.77777777777778,1.52222222222222,3.61746031746032,2.72407407407407,4.26,1.96666666666667
0007CB0942,2.58333333333333,0,2.55,1.68518518518519,1.8,2.65333333333333,2.1525641025641,2.62380952380952,3.18571428571429,2.0625
0007CB2302,1.88533333333333,2.55,0,1.575,0,5.62,3.05555555555556,4.7547619047619,1.99259259259259,2.25555555555556
0007CB30A6,2.06666666666667,1.68518518518519,1.575,0,1.66666666666667,1.94888888888889,1.82156862745098,1.79444444444444,1.52083333333333,1.50909090909091
0007CB3713,1.77777777777778,1.8,0,1.66666666666667,0,2.28809523809524,9.24047619047619,2.96236559139785,2.7,2.53333333333333
0007CB47A6,1.52222222222222,2.65333333333333,5.62,1.94888888888889,2.28809523809524,0,3.19111111111111,3.43698630136986,2.14642857142857,4.39462365591398
0007CDDBAF,3.61746031746032,2.1525641025641,3.05555555555556,1.82156862745098,9.24047619047619,3.19111111111111,0,4.43394683026585,2.73968253968254,2.03777777777778
0007CDE223,2.72407407407407,2.62380952380952,4.7547619047619,1.79444444444444,2.96236559139785,3.43698630136986,4.43394683026585,0,3.14822222222222,2.175
0007CDEC0B,4.26,3.18571428571429,1.99259259259259,1.52083333333333,2.7,2.14642857142857,2.73968253968254,3.14822222222222,0,4.03838383838384
0007CE0327,1.96666666666667,2.0625,2.25555555555556,1.50909090909091,2.53333333333333,4.39462365591398,2.03777777777778,2.175,4.03838383838384,0
