Row,0007CB0A48,0007CB0AD4,0007CB2ED2,0007CB321B,0007CB39C9,0007CB464C,0007F2B770,0007F2B957,0007F2BA9B,0007F2CA05
0007CB0A48,0,13,44,10,10,28,13,27,21,25
0007CB0AD4,4,0,11,3,7,9,10,7,8,18
0007CB2ED2,5,33,0,9,20,15,15,22,33,32
0007CB321B,0,2,2,0,2,2,2,2,2,1
0007CB39C9,1,1,2,0,0,1,1,2,1,3
0007CB464C,3,14,19,7,3,0,11,17,5,9
0007F2B770,2,4,8,4,8,5,0,0,5,9
0007F2B957,3,3,5,5,3,2,4,0,3,4
0007F2BA9B,6,11,10,8,11,12,8,5,0,21
0007F2CA05,7,7,11,3,5,6,7,9,11,0
