Row,0007CA3A72,0007CB0B74,0007CB0DBC,0007CB2407,0007F2B3FF,0007F2B59E,0007F2B8A2,0007F2B9FC,0007F2E37E,0007F2E3D4
0007CA3A72,0,1,0,2,2,1,2,1,3,2
0007CB0B74,2,0,1,10,6,4,8,14,13,5
0007CB0DBC,28,28,0,43,58,9,51,29,89,19
0007CB2407,6,9,0,0,12,2,9,7,25,6
0007F2B3FF,1,3,0,2,0,1,2,2,6,2
0007F2B59E,30,39,14,47,67,0,64,52,136,43
0007F2B8A2,6,17,0,9,13,4,0,7,26,8
0007F2B9FC,0,0,1,2,5,1,3,0,9,3
0007F2E37E,30,81,20,75,127,46,101,95,0,61
0007F2E3D4,5,5,0,7,15,0,6,10,19,0
