Row,0007CB0CDD,0007CB0F67,0007CB48B4,0007CB6DFA,0007F29741,0007F2B88A,0007F2C687,0007F2EEFA,0007F2F26A,0007F2F283
0007CB0CDD,0,16,6,4,16,6,5,9,10,3
0007CB0F67,12,0,9,2,7,7,9,8,9,5
0007CB48B4,17,22,0,11,21,10,16,8,17,7
0007CB6DFA,3,0,2,0,0,1,1,0,2,0
0007F29741,7,3,7,5,0,3,3,1,3,5
0007F2B88A,5,9,7,6,9,0,7,7,6,3
0007F2C687,5,4,6,2,4,1,0,4,2,0
0007F2EEFA,15,8,11,5,10,6,4,0,18,11
0007F2F26A,15,23,20,12,40,13,7,18,0,12
0007F2F283,9,13,14,8,13,5,4,19,12,0
