ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,0.512510542592071,0.312709030100334,0.106440511307768,0.0332918481642814,0.528967933171651,0.668122564171483,0.0629675810473816,0.0583690188046918,0.450958599611004
0007CB0942,0.0770987523789385,0,0.0429208472686734,0.0540806293018682,0,0.0714093236324441,0.0412914930788873,0.082205201282508,0,0.0176437899416505
0007CB44CE,0.023725946288856,0.0216474557211133,0,0,0.00964530180460485,0,0.0233167585002016,0.0213751335945849,0.0323962018246136,0
0007CB7051,0.0183125396489744,0.0618498734888949,0,0,0.11014312383323,0.146591215305847,0.0152197285311114,0.0560206626291415,0,0.347040844679078
0007CD6778,0.00452526961302601,0,0.0172798216276477,0.0870206489675516,0,0.0706009161950956,0.0786520628947722,0.0432846455290345,0.0229938558927574,0
0007CD765E,0.0830196658913089,0.0745009839752598,0,0.133726647000983,0.0815183571873058,0,0.0564440263405456,0,0,0.0252848013337039
0007CD77C5,0.841023472192853,0.345515884172054,0.386845039018952,0.111356932153392,0.728375855631614,0.452708164915117,0,0.165479159244745,0.339322286352634,0.539316476799112
0007CDADED,0.029900613237471,0.259488332864773,0.133779264214047,0.154621435594887,0.151213441194773,0,0.0624244053218653,0,0.732172779743065,0.154765212559044
0007CDC443,0.0265172340875449,0,0.193979933110368,0,0.0768512756689486,0,0.122463378578148,0.700480940505879,0,0.0900250069463741
0007CDDBAF,0.137280609008247,0.0357042451504075,0,0.614060963618486,0,0.0490433845324711,0.130426018008332,0.0992162451015317,0.0603239620182461,0
