ID,0007AC2B02,0007CB0942,0007CB44CE,0007CB7051,0007CD6778,0007CD765E,0007CD77C5,0007CDADED,0007CDC443,0007CDDBAF
0007AC2B02,0,2.25238095238095,3.2675,2.66754385964912,4.79666666666667,1.66666666666667,2.47258064516129,2.25098039215686,1.32222222222222,2.12222222222222
0007CB0942,2.25238095238095,0,3.27733333333333,1.27619047619048,0,0,3.1343137254902,0,0,1.8
0007CB44CE,3.2675,3.27733333333333,0,3.53655913978495,3.11481481481481,2.03555555555556,3.14391534391534,1.4,2.38095238095238,3.03636363636364
0007CB7051,2.66754385964912,1.27619047619048,3.53655913978495,0,1.96166666666667,2.59583333333333,2.42083333333333,1.88888888888889,1.94333333333333,2.31458333333333
0007CD6778,4.79666666666667,0,3.11481481481481,1.96166666666667,0,1.9,2.44166666666667,1.34,1.35,0
0007CD765E,1.66666666666667,0,2.03555555555556,2.59583333333333,1.9,0,2.02,0,2.45,1.9125
0007CD77C5,2.47258064516129,3.1343137254902,3.14391534391534,2.42083333333333,2.44166666666667,2.02,0,1.94833333333333,1.98421052631579,2.025
0007CDADED,2.25098039215686,0,1.4,1.88888888888889,1.34,0,1.94833333333333,0,1.45833333333333,1.52222222222222
0007CDC443,1.32222222222222,0,2.38095238095238,1.94333333333333,1.35,2.45,1.98421052631579,1.45833333333333,0,3.4125
0007CDDBAF,2.12222222222222,1.8,3.03636363636364,2.31458333333333,0,1.9125,2.025,1.52222222222222,3.4125,0
